alpha,gamma,epsilon,epsilon_min,epsilon_decay,avg_q_sum
0.05,0.85,1.0,0.1,0.95,-1.404578052604167
0.05,0.85,1.0,0.1,0.962,-2.266686468191211
0.05,0.85,1.0,0.1,0.974,-2.4551618824567387
0.05,0.85,1.0,0.1,0.987,-2.774335041051888
0.05,0.85,1.0,0.1,0.999,-0.9548275261602215
0.05,0.885,1.0,0.1,0.95,-0.981635125
0.05,0.885,1.0,0.1,0.962,-2.57557828386213
0.05,0.885,1.0,0.1,0.974,-1.7328258543892625
0.05,0.885,1.0,0.1,0.987,-1.8691212906222023
0.05,0.885,1.0,0.1,0.999,-2.52826244603791
0.05,0.92,1.0,0.1,0.95,-1.4576076706168166
0.05,0.92,1.0,0.1,0.962,-1.4933019655541113
0.05,0.92,1.0,0.1,0.974,-0.722640125
0.05,0.92,1.0,0.1,0.987,-2.3992395682801253
0.05,0.92,1.0,0.1,0.999,-1.6682802351135837
0.05,0.955,1.0,0.1,0.95,-0.2751805635416667
0.05,0.955,1.0,0.1,0.962,-1.5913208248752724
0.05,0.955,1.0,0.1,0.974,-2.9471933769629324
0.05,0.955,1.0,0.1,0.987,-0.913395623375202
0.05,0.955,1.0,0.1,0.999,-1.948569442946719
0.05,0.99,1.0,0.1,0.95,-3.7610986501435413
0.05,0.99,1.0,0.1,0.962,-3.2102824868931967
0.05,0.99,1.0,0.1,0.974,-1.2822785403958334
0.05,0.99,1.0,0.1,0.987,-3.8833127828479133
0.05,0.99,1.0,0.1,0.999,-2.5803423903055465
0.162,0.85,1.0,0.1,0.95,-4.617867785941075
0.162,0.85,1.0,0.1,0.962,-7.890515701055802
0.162,0.85,1.0,0.1,0.974,-8.479072831016365
0.162,0.85,1.0,0.1,0.987,-9.216388448939025
0.162,0.85,1.0,0.1,0.999,-3.761717306048769
0.162,0.885,1.0,0.1,0.95,-2.9045438903389407
0.162,0.885,1.0,0.1,0.962,-2.3786155825957978
0.162,0.885,1.0,0.1,0.974,-7.613822449209425
0.162,0.885,1.0,0.1,0.987,-8.239187641447142
0.162,0.885,1.0,0.1,0.999,-0.7715850145200002
0.162,0.92,1.0,0.1,0.95,-9.318453810473073
0.162,0.92,1.0,0.1,0.962,-3.891719371231078
0.162,0.92,1.0,0.1,0.974,-2.8535876296560008
0.162,0.92,1.0,0.1,0.987,-5.100033474119047
0.162,0.92,1.0,0.1,0.999,-2.325051737450257
0.162,0.955,1.0,0.1,0.95,-2.0928789122923255
0.162,0.955,1.0,0.1,0.962,-4.5661101028563165
0.162,0.955,1.0,0.1,0.974,-5.05260227190985
0.162,0.955,1.0,0.1,0.987,-9.541395001106418
0.162,0.955,1.0,0.1,0.999,-4.236274372323561
0.162,0.99,1.0,0.1,0.95,-12.604910213958398
0.162,0.99,1.0,0.1,0.962,-5.161197316452785
0.162,0.99,1.0,0.1,0.974,-2.8761678114978637
0.162,0.99,1.0,0.1,0.987,-5.39463524280098
0.162,0.99,1.0,0.1,0.999,-8.69837611550494
0.275,0.85,1.0,0.1,0.95,-0.6703869791666669
0.275,0.85,1.0,0.1,0.962,-1.440272395833334
0.275,0.85,1.0,0.1,0.974,-7.9889964022533215
0.275,0.85,1.0,0.1,0.987,-19.175718590702264
0.275,0.85,1.0,0.1,0.999,-7.234329824335472
0.275,0.885,1.0,0.1,0.95,-2.732513179687501
0.275,0.885,1.0,0.1,0.962,-14.144956194894737
0.275,0.885,1.0,0.1,0.974,-5.626504932812501
0.275,0.885,1.0,0.1,0.987,-2.5676068243489585
0.275,0.885,1.0,0.1,0.999,-2.850950584309896
0.275,0.92,1.0,0.1,0.95,-13.006172076938695
0.275,0.92,1.0,0.1,0.962,-5.746445973225261
0.275,0.92,1.0,0.1,0.974,-4.659477008291016
0.275,0.92,1.0,0.1,0.987,-3.4632655611246754
0.275,0.92,1.0,0.1,0.999,-1.9431845899355065
0.275,0.955,1.0,0.1,0.95,-4.114223383619426
0.275,0.955,1.0,0.1,0.962,-7.17056000216849
0.275,0.955,1.0,0.1,0.974,-6.9966619475934495
0.275,0.955,1.0,0.1,0.987,-16.46923766485037
0.275,0.955,1.0,0.1,0.999,-12.62370068586054
0.275,0.99,1.0,0.1,0.95,-0.6309015625000004
0.275,0.99,1.0,0.1,0.962,-5.819052022990793
0.275,0.99,1.0,0.1,0.974,-2.791797871525066
0.275,0.99,1.0,0.1,0.987,-5.232085442612783
0.275,0.99,1.0,0.1,0.999,-9.75762264086846
0.388,0.85,1.0,0.1,0.95,-25.434141533438964
0.388,0.85,1.0,0.1,0.962,-0.4340383228247722
0.388,0.85,1.0,0.1,0.974,-10.248261172988924
0.388,0.85,1.0,0.1,0.987,-12.28830201052299
0.388,0.85,1.0,0.1,0.999,-14.173768076086972
0.388,0.885,1.0,0.1,0.95,-26.063930177521343
0.388,0.885,1.0,0.1,0.962,-8.30336015699327
0.388,0.885,1.0,0.1,0.974,-4.072178656608
0.388,0.885,1.0,0.1,0.987,-6.533335243226072
0.388,0.885,1.0,0.1,0.999,-14.360349950880513
0.388,0.92,1.0,0.1,0.95,-10.5981479648839
0.388,0.92,1.0,0.1,0.962,-16.862857195441844
0.388,0.92,1.0,0.1,0.974,-6.7568397830205384
0.388,0.92,1.0,0.1,0.987,-8.800241775650134
0.388,0.92,1.0,0.1,0.999,-4.964399339995368
0.388,0.955,1.0,0.1,0.95,-17.05037990358959
0.388,0.955,1.0,0.1,0.962,-8.438253522108974
0.388,0.955,1.0,0.1,0.974,-9.177540235750676
0.388,0.955,1.0,0.1,0.987,-7.862457884958919
0.388,0.955,1.0,0.1,0.999,-14.997278349038986
0.388,0.99,1.0,0.1,0.95,-9.919162277108695
0.388,0.99,1.0,0.1,0.962,-13.420794915056087
0.388,0.99,1.0,0.1,0.974,-8.828523571483602
0.388,0.99,1.0,0.1,0.987,-11.05045440572615
0.388,0.99,1.0,0.1,0.999,-10.265878588146334
0.5,0.85,1.0,0.1,0.95,-3.5235416666666666
0.5,0.85,1.0,0.1,0.962,-4.17203125
0.5,0.85,1.0,0.1,0.974,-8.1201875
0.5,0.85,1.0,0.1,0.987,-14.773566210937497
0.5,0.85,1.0,0.1,0.999,-12.276864583333333
0.5,0.885,1.0,0.1,0.95,-16.931843010286457
0.5,0.885,1.0,0.1,0.962,-8.170188125000001
0.5,0.885,1.0,0.1,0.974,-20.835927044111166
0.5,0.885,1.0,0.1,0.987,-12.009301796874999
0.5,0.885,1.0,0.1,0.999,-22.683447783203125
0.5,0.92,1.0,0.1,0.95,-16.371764416666668
0.5,0.92,1.0,0.1,0.962,-6.216270833333333
0.5,0.92,1.0,0.1,0.974,-8.722303333333334
0.5,0.92,1.0,0.1,0.987,-23.3299546545
0.5,0.92,1.0,0.1,0.999,-12.183499583333335
0.5,0.955,1.0,0.1,0.95,-5.459208333333334
0.5,0.955,1.0,0.1,0.962,-10.832555989583334
0.5,0.955,1.0,0.1,0.974,-11.033676157766358
0.5,0.955,1.0,0.1,0.987,-13.961834088541666
0.5,0.955,1.0,0.1,0.999,-11.143999960937501
0.5,0.99,1.0,0.1,0.95,-10.274011718750002
0.5,0.99,1.0,0.1,0.962,-10.701973828125
0.5,0.99,1.0,0.1,0.974,-5.982125
0.5,0.99,1.0,0.1,0.987,-16.9451880260437
0.5,0.99,1.0,0.1,0.999,-14.323886666666667
